"search_string"	"feilstaving_av"
"1 maskinist"	"førstemaskinist"
"1 semester"	"førstesemester"
"1 styrmann"	"førstestyrmann"
"1. maskinist"	"førstemaskinist"
"2d"	"2D"
"3d"	"3D"
"3d animasjon"	"3d-animasjon"
"3d animatør"	"3D-animatør"
"3d artist"	"3D-artist"
"3d design"	"3D-design"
"3d design og animasjon"	"3D-design og animasjon"
"3d grafiker"	"3D-grafiker"
"3d grafikk"	"3D-grafikk"
"3d modellering"	"3D-modellering"
"3d og animasjon"	"3D og animasjon"
"3d print"	"3D-printing"
"3d printing"	"3D-printing"
"3d spilldesign"	"3D-spilldesign"
"3d spilldesigner"	"3D spilldesigner"
"3d tegner"	"3D-tegner"
"3d-grafikk"	"3D-grafikk"
"4s"	"4S"
"abassadør"	"ambassadør"
"abmulanse"	"ambulanse"
"abotek"	"apotek"
"aboteker"	"apoteker"
"abotektekniker"	"apotektekniker"
"abulangse"	"ambulanse"
"abulanse"	"ambulanse"
"abulanse sjåfør"	"ambulansesjåfør"
"abulansesjofør"	"ambulansesjåfør"
"abulansesjåfør"	"ambulansesjåfør"
"adavokat"	"advokat"
"adbokat"	"advokat"
"adcokat"	"advokat"
"addvokat"	"advokat"
"adferd psykologi"	"atferdspsykologi"
"adferds psykologi"	"atferdspsykologi"
"adferdsanalytiker"	"atferdsanalytiker"
"adferdsbiolog"	"atferdsbiolog"
"adferdsbiologi"	"atferdsbiologi"
"adferdspsykologi"	"atferdspsykologi"
"adferdsvitenskap"	"atferdsvitenskap"
"adinistrasjon"	"administrasjon"
"adjongt"	"adjunkt"
"adjonkt"	"adjunkt"
"adjont"	"adjunkt"
"adjukt"	"adjunkt"
"adjukt med opprykk"	"adjunkt med opprykk"
"adjun"	"adjunkt"
"adjunk"	"adjunkt"
"adjunkr"	"adjunkt"
"adjunkt med opptrykk"	"adjunkt med opprykk"
"adjunkt med tillegsutdanning"	"adjunkt med tilleggsutdanning"
"adjunky"	"adjunkt"
"adjunt"	"adjunkt"
"adkvokat"	"advokat"
"admenstrasjon"	"administrasjon"
"adminastrasjon"	"administrasjon"
"administa"	"administrasjon"
"administasjon"	"administrasjon"
"administasjon og ledelse"	"administrasjon og ledelse"
"administasjonsmedarbeider"	"administrasjonsmedarbeider"
"administerende"	"administrerende direktør"
"administerende direktør"	"administrerende direktør"
"administrajon"	"administrasjon"
"administrajon og ledelse"	"administrasjon og ledelse"
"administrasjo"	"administrasjon"
"administrasjon leder"	"administrasjonsleder"
"administrasjon medarbeider"	"administrasjonsmedarbeider"
"administrasjon og ledelse i offentlig virksomhe"	"administrasjon og ledelse i offentlig virksomhet"
"administrasjon og ledese"	"administrasjon og ledelse"
"administrasjon og organisasjons vitenskap"	"administrasjon og organisasjonsvitenskap"
"administrasjon og organisasjonsvitskap"	"administrasjon og organisasjonsvitenskap"
"administrasjon og organisasjonvitenskap"	"administrasjon og organisasjonsvitenskap"
"administrasjon sekretær"	"administrasjonssekretær"
"administrasjonmedarbeider"	"administrasjonsmedarbeider"
"administrasjons ansvarlig"	"administrasjonsansvarlig"
"administrasjons konsulent"	"administrasjonskonsulent"
"administrasjons koordinator"	"administrasjonskoordinator"
"administrasjons leder"	"administrasjonsleder"
"administrasjonsekretær"	"administrasjonssekretær"
"administrasjonsjef"	"administrasjonssjef"
"administrason"	"administrasjon"
"administrat"	"administrator"
"administration og ledelse"	"administrasjon og ledelse"
"administratør"	"administrator"
"administrende direktør"	"administrerende direktør"
"administrende direktør i industrien"	"administrerende direktør i industrien"
"administrerendedirektør"	"administrerende direktør"
"administrerene direktør"	"administrerende direktør"
"administrsjon"	"administrasjon"
"adminitrasjon"	"administrasjon"
"adminsitrasjon"	"administrasjon"
"adminstrasjonskonsulent"	"administrasjonskonsulent"
"adminstrator"	"administrator"
"adminstrerende direktør"	"administrerende direktør"
"admistrasjon og ledelse"	"administrasjon og ledelse"
"admistrator"	"administrator"
"admistrerende direktør"	"administrerende direktør"
"admnistrasjon og ledelse"	"administrasjon og ledelse"
"adninistrasjon"	"administrasjon"
"adokat"	"advokat"
"adopsjonskonsulent"	"adopsjonskonsulent"
"adoptivforeldere"	"adoptivforeldre"
"adovakt"	"advokat"
"adovkat"	"advokat"
"adovokat"	"advokat"
"adunkt"	"adjunkt"
"adv"	"advokat"
"advakat"	"advokat"
"advikat"	"advokat"
"adviokat"	"advokat"
"advkat"	"advokat"
"advkokat"	"advokat"
"advo"	"advokat"
"advoakt"	"advokat"
"advoat"	"advokat"
"advocat"	"advokat"
"advocates"	"advokat"
"advodkat"	"advokat"
"advojat"	"advokat"
"advok"	"advokat"
"advoka"	"advokat"
"advokad"	"advokat"
"advokado"	"advokat"
"advokag"	"advokat"
"advokakt"	"advokat"
"advokar"	"advokat"
"advokast"	"advokat"
"advokat asistent"	"advokatassistent"
"advokatasistent"	"advokatassistent"
"advokatassisten"	"advokatassistent"
"advokatassisteny"	"advokatassistent"
"advokate"	"advokat"
"advokater"	"advokat"
"advokatr"	"advokat"
"advokatse"	"advokat"
"advokatsekeretær"	"advokatsekretær"
"advokatsekrerær"	"advokatsekretær"
"advokatsekret"	"advokatsekretær"
"advokatsekretar"	"advokatsekretær"
"advokatsekreter"	"advokatsekretær"
"advokatsekretæe"	"advokatsekretær"
"advokatsekretæt"	"advokatsekretær"
"advokatsekritær"	"advokatsekretær"
"advokatselretær"	"advokatsekretær"
"advokatt"	"advokat"
"advokaty"	"advokat"
"advokay"	"advokat"
"advokoat"	"advokat"
"advokokat"	"advokat"
"advokot"	"advokat"
"advokqt"	"advokat"
"advokst"	"advokat"
"advokt"	"advokat"
"advokta"	"advokat"
"advokaat"	"advokat"
"advolat"	"advokat"
"advonat"	"advokat"
"advukat"	"advokat"
"advvokat"	"advokat"
"aekitekt"	"arkitekt"
"aeroingeniør"	"aeroingeniør"
"afis"	"AFIS"
"afis fullmektig"	"AFIS-fullmektig"
"afrika studier"	"afrikastudier"
"afvokat"	"advokat"
"agder"	"Agder"
"ageonom"	"agronom"
"agnorom"	"agronom"
"agonom"	"agronom"
"agrenom"	"agronom"
"agrono,"	"agronom"
"agrotekkniker"	"agrotekniker"
"agroteknikker"	"agrotekniker"
"ai"	"AI"
"ajunkt"	"adjunkt"
"akadamiet"	"Akademiet"
"akeolog"	"arkeolog"
"akepunktør"	"akupunktør"
"akerhus"	"Akershus"
"akitekt"	"arkitekt"
"akitektur"	"arkitektur"
"akivitør"	"aktivitør"
"akje"	"aksje"
"akje megler"	"aksjemegler"
"akjemegler"	"aksjemegler"
"akjer"	"aksje"
"akjermegler"	"aksjemegler"
"akjse"	"aksje"
"akjse megler"	"aksjemegler"
"akjsemegeler"	"aksjemegler"
"akjsemegler"	"aksjemegler"
"akjsemekler"	"aksjemegler"
"akjser"	"aksje"
"akjsermegler"	"aksjemegler"
"akkupunktur"	"akupunktur"
"akkupunktør"	"akupunktør"
"akkustikk"	"akustikk"
"akkut"	"akutt"
"akkutsykepleier"	"akuttsykepleier"
"akkuttsykepleier"	"akuttsykepleier"
"akreolog"	"arkeolog"
"akritekt"	"arkitekt"
"akritektur"	"arkitektur"
"akrivar"	"arkivar"
"akrivitør"	"aktivitør"
"akrkitekt"	"arkitekt"
"akronom"	"akronym"
"akselmegler"	"aksjemegler"
"aksemegler"	"aksjemegler"
"aksermegler"	"aksjemegler"
"aksje analytiker"	"aksjeanalytiker"
"aksje forvalter"	"aksjeforvalter"
"aksjel"	"aksje"
"aksjelmegler"	"aksjemegler"
"aksjeme"	"aksjemegler"
"aksjemegl"	"aksjemegler"
"aksjemeglee"	"aksjemegler"
"aksjenegler"	"aksjemegler"
"aksjer megler"	"aksjemegler"
"aksjerinvestor"	"aksjeinvestor"
"aksjermegler"	"aksjemegler"
"aksjermegling"	"aksjemegling"
"akskjermegler"	"aksjemegler"
"aktitekt"	"arkitekt"
"aktivatør"	"aktivitør"
"aktivitetskolen"	"aktivitetsskolen"
"aktivitor"	"aktivitør"
"aktivitø"	"aktivitør"
"aktivtør"	"aktivitør"
"aktivør"	"aktivitør"
"aktoar"	"aktuar"
"aktorar"	"aktuar"
"aktuarar"	"aktuar"
"aktur"	"aktuar"
"akturar"	"aktuar"
"aktuør"	"aktuar"
"aktvar"	"aktuar"
"aktvitør"	"aktivitør"
"akuakultur"	"akvakultur"
"akupunkt"	"akupunktur"
"akupuntur"	"akupunktur"
"akupuntør"	"akupunktør"
"akutar"	"aktuar"
"akutsykepleier"	"akuttsykepleier"
"akutt lege"	"akuttlege"
"akutt medisin"	"akuttmedisin"
"akuttlege"	"akuttlege"
"akuttmotak"	"akuttmottak"
"akuttsjukepleie"	"akuttsykepleie"
"akuttsjukepleier"	"akuttsykepleier"
"akuttsykepleiee"	"akuttsykepleie"
"akuttsykepleiet"	"akuttsykepleier"
"akuttsykepleir"	"akuttsykepleier"
"akuttsykepleirr"	"akuttsykepleier"
"akuttsykeplier"	"akuttsykepleier"
"akva medisin"	"akvamedisin"
"akvakultur vg2"	"bygg Vg1"
"akvakutur"	"akvakultur"
"akvamedesin"	"akvamedisin"
"akvamedisn"	"akvamedisin"
"akvokat"	"advokat"
"aliminium"	"aluminium"
"aliminiumskonstruktør"	"aluminiumskonstruktør"
"aliminum"	"aluminium"
"allemennlege"	"allmennlege"
"allemennslege"	"allmennlege"
"allmannslege"	"allmennlege"
"allmanslege"	"allmennlege"
"allmen lege"	"allmennlege"
"allmenlege"	"allmennlege"
"allmenlegw"	"allmennlege"
"allmenlærer"	"allmennlærer"
"allmenn literaturvitenskap"	"allmenn litteraturvitenskap"
"allmenn lærer"	"allmennlærer"
"allmennkirurg"	"allmennkirurg"
"allmennlegen"	"allmennlege"
"allmennleger"	"allmennlege"
"allmennlehe"	"allmennlege"
"allmennlærere"	"allmennlærer"
"allmennpraktiserende leger"	"allmennpraktiserende lege"
"allmennslege"	"allmennlege"
"allmennslærer"	"allmennlærer"
"allmennspesialist"	"allmennspesialist"
"allmenslege"	"allmennlege"
"almen lege"	"allmennlege"
"almen litteraturkunnskap"	"allmenn litteraturkunnskap"
"almenlege"	"allmennlege"
"almenlærer"	"allmennlærer"
"almenn"	"allmenn"
"almenn lege"	"allmennlege"
"almenn påbygg"	"allmenn påbygg"
"almennlege"	"allmennlege"
"almennlærer"	"allmennlærer"
"almenslege"	"allmennlege"
"alsjemegler"	"aksjemegler"
"alta"	"Alta"
"altivitør"	"aktivitør"
"aluminiumkonstruksjon"	"aluminiumskonstruksjon"
"aluminiumkonstruktør"	"aluminiumskonstruktør"
"aluminumskonstruktør"	"aluminiumskonstruktør"
"amasadør"	"ambassadør"
"amassadør"	"ambassadør"
"ambasade"	"ambassade"
"ambasaden"	"ambassaden"
"ambasador"	"ambassadør"
"ambasadør"	"ambassadør"
"ambasdør"	"ambassadør"
"ambassadø"	"ambassadør"
"amblanse"	"ambulanse"
"ambolanse"	"ambulanse"
"ambu"	"ambulanse"
"ambualnse"	"ambulanse"
"ambuansearbeider"	"ambulansearbeider"
"ambukanse"	"ambulanse"
"ambulamse"	"ambulanse"
"ambulance"	"ambulanse"
"ambulancearbeider"	"ambulansearbeider"
"ambulane"	"ambulanse"
"ambulanearbeider"	"ambulansearbeider"
"ambulangse"	"ambulanse"
"ambulangse arbeider"	"ambulansearbeider"
"ambulangsearbeider"	"ambulansearbeider"
"ambulangsesjofør"	"ambulansesjåfør"
"ambulans"	"ambulanse"
"ambulansarbeider"	"ambulansearbeider"
"ambulanse"	"ambulanse"
"ambulanse arbeid"	"ambulansearbeider"
"ambulanse arbeider lønn"	"ambulansearbeider lønn"
"ambulanse kjåfør"	"ambulansesjåfør"
"ambulanse personel"	"ambulansepersonell"
"ambulanse sjafør"	"ambulansesjåfør"
"ambulanse sjofør"	"ambulansesjåfør"
"ambulanse sjøfor"	"ambulansesjåfør"
"ambulanse sjøfør"	"ambulansesjåfør"
"ambulanse sjøfår"	"ambulansesjåfør"
"ambulansea"	"ambulanse"
"ambulanseabeider"	"ambulansearbeider"
"ambulanseaebeider"	"ambulansearbeider"
"ambulansear"	"ambulansearbeider"
"ambulansearb"	"ambulansearbeider"
"ambulansearbedier"	"ambulansearbeider"
"ambulansearbeidee"	"ambulansearbeider"
"ambulansearbeidere"	"ambulansearbeider"
"ambulansearbeidet"	"ambulansearbeider"
"ambulansearbeidr"	"ambulansearbeider"
"ambulansearbeiser"	"ambulansearbeider"
"ambulansearberider"	"ambulansearbeider"
"ambulansearbeuder"	"ambulansearbeider"
"ambulansearbider"	"ambulansearbeider"
"ambulansearveider"	"ambulansearbeider"
"ambulansebetjent"	"ambulansebetjent"
"ambulansef"	"ambulanse"
"ambulanseflyger"	"ambulanseflyger"
"ambulansefører"	"ambulansesjåfør"
"ambulansekjører"	"ambulansesjåfør"
"ambulanselege"	"ambulanselege"
"ambulansemedarveider"	"ambulansemedarbeider"
"ambulansen"	"ambulanse"
"ambulansepersonel"	"ambulansepersonell"
"ambulansesj"	"ambulansesjåfør"
"ambulansesjofør"	"ambulansesjåfør"
"ambulansesjøfør"	"ambulansesjåfør"
"ambulansesjøfår"	"ambulansesjåfør"
"ambulansesjåfær"	"ambulansesjåfør"
"ambulansesjårfør"	"ambulansesjåfør"
"ambulanseskjåfør"	"ambulansesjåfør"
"ambulansesrbeider"	"ambulansearbeider"
"ambulansfaget"	"ambulansefaget"
"ambulansjesjafør"	"ambulansesjåfør"
"ambulansjesjofør"	"ambulansesjåfør"
"ambulansjesjåfør"	"ambulansesjåfør"
"ambulansr"	"ambulanse"
"ambulanssjåfør"	"ambulansesjåfør"
"ambulas"	"ambulanse"
"ambulase"	"ambulanse"
"ambulase arbeider"	"ambulansearbeider"
"ambulasearbeider"	"ambulansearbeider"
"ambulasesjåfør"	"ambulansesjåfør"
"ambulasne"	"ambulanse"
"ambulasnearbeider"	"ambulansearbeider"
"ambullanse"	"ambulanse"
"ambulnse"	"ambulanse"
"ambulnsearbeider"	"ambulansearbeider"
"ambuøanse"	"ambulanse"
"ambuøansearbeider"	"ambulansearbeider"
"aministrasjon"	"administrasjon"
"amnestesilege"	"anestesilege"
"amnesti sykepleier"	"anestesisykepleier"
"amnestilege"	"anestesilege"
"amnestisykepleier"	"anestesisykepleier"
"ampulanse"	"ambulanse"
"amublanse"	"ambulanse"
"amublansesjåfør"	"ambulansesjåfør"
"amubulansearbeider"	"ambulansearbeider"
"amulanse"	"ambulanse"
"amulansearbeider"	"ambulansearbeider"
"amulansesjåfør"	"ambulansesjåfør"
"amunensis"	"amanuensis"
"amuniensis"	"amanuensis"
"analitik"	"analytiker"
"analitiker"	"analytiker"
"analityk"	"analytiker"
"analityker"	"analytiker"
"analyktiker"	"analytiker"
"analytik"	"analytiker"
"analytikee"	"analytiker"
"analytikker"	"analytiker"
"anastasilege"	"anestesilege"
"anastesi"	"anestesi"
"anastesilege"	"anestesilege"
"anbulanse"	"ambulanse"
"anbulansearbeider"	"ambulansearbeider"
"anbulansesjofør"	"ambulansesjåfør"
"anbulansesjåfør"	"ambulansesjåfør"
"andmelder"	"anmelder"
"andre pilot"	"andrepilot"
"andvendt"	"anvendt"
"andvendt datateknologi"	"anvendt datateknologi"
"andvendt psykologi"	"anvendt psykologi"
"andvent psykologi"	"anvendt psykologi"
"andvokat"	"advokat"
"anekker"	"snekker"
"anestasi"	"anestesi"
"anestes"	"anestesi"
"anestesilegw"	"anestesilege"
"anestesisjukepleie"	"anestesisykepleie"
"anestesti"	"anestesi"
"anesthesiologist"	"anestesiolog"
"anesti lege"	"anestesilege"
"anesti sykepleier"	"anestesisykepleier"
"anestilege"	"anestesilege"
"anestiolog"	"anestesiolog"
"anestiselege"	"anestesilege"
"anestisi"	"anestesi"
"anestisiolog"	"anestesiolog"
"anestisisykepleier"	"anestesisykepleier"
"anestisykepleie"	"anestesisykepleie"
"anestisykepleier"	"anestesisykepleier"
"animal scien"	"animal science"
"animal sciense"	"animal science"
"animal sience"	"animal science"
"animasjo"	"animasjon"
"animatø"	"animatør"
"anistesi"	"anestesi"
"anistesilege"	"anestesilege"
"anleg"	"anlegg"
"anlegg gartner"	"anleggsgartner"
"anlegg ingeniør"	"anleggsingeniør"
"anlegg maskinfører"	"anleggsmaskinfører"
"anleggartner"	"anleggsgartner"
"anlegggartner"	"anleggsgartner"
"anleggleder"	"anleggsleder"
"anleggmaskin"	"anleggsmaskin"
"anleggmaskiner"	"anleggsmaskin"
"anleggmaskinførar"	"anleggsmaskinfører"
"anleggmaskinmekaniker"	"anleggsmaskinmekaniker"
"anleggmekaniker"	"anleggsmekaniker"
"anleggs arbeider"	"anleggsarbeider"
"anleggs bas"	"anleggsbas"
"anleggs ingeniør"	"anleggsingeniør"
"anleggs leder"	"anleggsleder"
"anleggs mekaniker"	"anleggsmekaniker"
"anleggs rørlegger"	"anleggsrørlegger"
"anleggsg"	"anleggsgartner"
"anleggsgarter"	"anleggsgartner"
"anleggsgartnee"	"anleggsgartner"
"anleggsgartnere"	"anleggsgartner"
"anleggsjofør"	"anleggssjåfør"
"anleggsmakinfører"	"anleggsmaskinfører"
"anleggsmakinmekaniker"	"anleggsmaskinmekaniker"
"anleggsmakjinfører"	"anleggsmaskinfører"
"anleggsmaksinfører"	"anleggsmaskinfører"
"anleggsmarskinfører"	"anleggsmaskinfører"
"anleggsmaskifører"	"anleggsmaskinfører"
"anleggsmaskin"	"anleggsmaskin"
"anleggsmaskin reparatør"	"anleggsmaskinreparatør"
"anleggsmaskiner"	"anleggsmaskin"
"anleggsmaskinerfører"	"anleggsmaskinfører"
"anleggsmaskinflrer"	"anleggsmaskinfører"
"anleggsmaskinfør"	"anleggsmaskinfører"
"anleggsmaskinførere"	"anleggsmaskinfører"
"anleggsmaskinkjører"	"anleggsmaskinfører"
"anleggsmaskinmekanikker"	"anleggsmaskinmekaniker"
"anleggsmaskinreperatør"	"anleggsmaskinreparatør"
"anleggsmaskinrepratør"	"anleggsmaskinreparatør"
"anleggsmaskinsfører"	"anleggsmaskinfører"
"anleggsmaskinsjåfør"	"anleggsmaskinsjåfør"
"anleggsmaskinsmekaniker"	"anleggsmaskinmekaniker"
"anleggsmekanikker"	"anleggsmekaniker"
"anleggsrørleger"	"anleggsrørlegger"
"anleggssjofør"	"anleggssjåfør"
"anleggssjåfør"	"anleggssjåfør"
"anleggstekknik"	"anleggsteknikk"
"anleggsteknikk vg2"	"bygg og anlegg Vg1"
"anleggsteknikker"	"anleggstekniker"
"anleggteknik"	"anleggsteknikk"
"anleggteknikk"	"anleggsteknikk"
"anlegmaskinfører"	"anleggsmaskinfører"
"anlegs"	"anlegg"
"anlegs gartner"	"anleggsgartner"
"anlegsarbeider"	"anleggsarbeider"
"anlegsfører"	"anleggsfører"
"anlegsgartner"	"anleggsgartner"
"anlegsleder"	"anleggsleder"
"anlegsmaskin"	"anleggsmaskin"
"anlegsmaskinførar"	"anleggsmaskinfører"
"anlegsmaskinfører"	"anleggsmaskinfører"
"anlegsmaskinmekaniker"	"anleggsmaskinmekaniker"
"anlegsmekaniker"	"anleggsmekaniker"
"anlegsmekanikker"	"anleggsmekaniker"
"anlegssgartner"	"anleggsgartner"
"anlegsteknikk"	"anleggsteknikk"
"annestesi"	"anestesi"
"annestesilege"	"anestesilege"
"annestesisykepleier"	"anestesisykepleier"
"annimatør"	"animatør"
"annleg"	"anlegg"
"annlegartner"	"anleggsgartner"
"annlegg"	"anlegg"
"annleggmaskinfører"	"anleggsmaskinfører"
"annleggs gartner"	"anleggsgartner"
"annleggs leder"	"anleggsleder"
"annleggsgartner"	"anleggsgartner"
"annleggsmaskin fører"	"anleggsmaskinfører"
"annleggsmaskiner"	"anleggsmaskin"
"annleggsmaskinførar"	"anleggsmaskinfører"
"annleggsmaskinfører"	"anleggsmaskinfører"
"annleggsmaskinsjåfør"	"anleggsmaskinsjåfør"
"annleggsmekaniker"	"anleggsmekaniker"
"annleggsrørlegger"	"anleggsrørlegger"
"annleggssperringer"	"anleggssperringer"
"annleggstekknik"	"anleggsteknikk"
"annleggsteknik"	"anleggsteknikk"
"annleggsteknikk"	"anleggsteknikk"
"annlegs"	"anlegg"
"annlegs gartner"	"anleggsgartner"
"annlegs mekaniker"	"anleggsmekaniker"
"annlegsarbeider"	"anleggsarbeider"
"annlegsgartnee"	"anleggsgartner"
"annlegsgartner"	"anleggsgartner"
"annlegsleder"	"anleggsleder"
"annlegsmakinfører"	"anleggsmaskinfører"
"annlegsmarskinfører"	"anleggsmaskinfører"
"annlegsmaskin"	"anleggsmaskin"
"annlegsmaskin fører"	"anleggsmaskinfører"
"annlegsmaskiner"	"anleggsmaskin"
"annlegsmaskinførar"	"anleggsmaskinfører"
"annlegsmaskinfører"	"anleggsmaskinfører"
"annlegsmekaniker"	"anleggsmekaniker"
"annlegsmekanikker"	"anleggsmekaniker"
"annlegsrørlegger"	"anleggsrørlegger"
"annlegssjofør"	"anleggssjåfør"
"annlegsteknik"	"anleggsteknikk"
"annlegsteknikker"	"anleggstekniker"
"annsatt i forsvaret"	"ansatt i forsvaret"
"anotomi"	"anatomi"
"ansinitet"	"ansiennitet"
"anstesi"	"anestesi"
"anstesilege"	"anestesilege"
"anstesisykepleier"	"anestesisykepleier"
"anthropology"	"antropologi"
"anvendt data teknologi"	"anvendt datateknologi"
"anvendt datateknolog"	"anvendt datateknologi"
"anvendt paykologi"	"anvendt psykologi"
"anvendt psykolgi"	"anvendt psykologi"
"anvendt psyologi"	"anvendt psykologi"
"anvokat"	"advokat"
"aoptek"	"apotek"
"aotek"	"apotek"
"aplikasjon"	"applikasjon"
"apot"	"apotek"
"apote"	"apotek"
"apotek"	"apotek"
"apotek medarbeider"	"apotekmedarbeider"
"apotek teknikker"	"apotektekniker"
"apotek tekninker"	"apotektekniker"
"apotekar"	"apoteker"
"apotekarar"	"apoteker"
"apotekertekniker"	"apotektekniker"
"apoteket"	"apotek"
"apoteketekniker"	"apotektekniker"
"apotekiker"	"apoteker"
"apotekk"	"apotek"
"apotekkniker"	"apotektekniker"
"apotekktekniker"	"apotektekniker"
"apoteknikker"	"apotektekniker"
"apotekninker"	"apotektekniker"
"apotekstekniker"	"apotektekniker"
"apoteksteknikker"	"apotektekniker"
"apotekt"	"apotek"
"apotekte"	"apotek"
"apotektek"	"apotek"
"apotektekinker"	"apotektekniker"
"apotektekkniker"	"apotektekniker"
"apotektekknikker"	"apotektekniker"
"apotektekn"	"apotektekniker"
"apotektekneker"	"apotektekniker"
"apotektekni"	"apotektekniker"
"apotekteknik"	"apotekteknikk"
"apotekteknikee"	"apotektekniker"
"apotekteknikkee"	"apotektekniker"
"apotekteknikker"	"apotektekniker"
"apotekteknikker lønn"	"apotektekniker lønn"
"apotekteknikket"	"apotektekniker"
"apotekteknikrr"	"apotektekniker"
"apotektekninger"	"apotektekniker"
"apotekteknink"	"apotekteknikk"
"apotektekninkker"	"apotektekniker"
"apotekteknker"	"apotektekniker"
"apotekteniker"	"apotektekniker"
"apotektikniker"	"apotektekniker"
"apotel"	"apotek"
"apotetekniker"	"apotektekniker"
"apotik"	"apotek"
"apotiker"	"apoteker"
"apotiktekniker"	"apotektekniker"
"apotker"	"apoteker"
"app utvikler"	"app-utvikler"
"app utvikling"	"apputvikling"
"app-utvikler"	"app-utvikler"
"appdesigner"	"appdesigner"
"appotek"	"apotek"
"appotekniker"	"apotektekniker"
"appotektekniker"	"apotektekniker"
"appteker"	"apoteker"
"aptek"	"apotek"
"aptektekniker"	"apotektekniker"
"apåtek"	"apotek"
"aqua kultur"	"akvakultur"
"aquacultur"	"akvakultur"
"aquaculture"	"akvakultur"
"aquamedisin"	"akvamedisin"
"aqva"	"akva"
"aqvakultur"	"akvakultur"
"arbeid og organisasjons psykologi"	"arbeids- og organisasjonspsykologi"
"arbeid og veldferd"	"arbeids- og velferdsfag"
"arbeida og velferdsfag"	"arbeids- og velferdsfag"
"arbeidmaskiner"	"arbeidsmaskiner"
"arbeids leder"	"arbeidsleder"
"arbeids og organisasjonpsykologi"	"arbeids- og organisasjonspsykologi"
"arbeids og organisasjons psykologi"	"arbeids- og organisasjonspsykologi"
"arbeids og organisasjonspsykolgi"	"arbeids- og organisasjonspsykologi"
"arbeids og organisasjonspyskologi"	"arbeids- og organisasjonspsykologi"
"arbeids og organisjonspsykologi"	"arbeids- og organisasjonspsykologi"
"arbeids psykologi"	"arbeidspsykologi"
"arbeidsmarkede"	"arbeidsmarkedet"
"arbeidsmaskinfører"	"arbeidsmaskinfører"
"arbeidsterapaut"	"arbeidsterapeut"
"arbeiduke"	"arbeidsuke"
"architecture"	"arkitektur"
"arealplanleger"	"arealplanlegger"
"arekolog"	"arkeolog"
"arelplanlegger"	"arealplanlegger"
"argonomi"	"ergonomi"
"argotekniker"	"agrotekniker"
"argoterapaut"	"ergoterapeut"
"argoterapi"	"ergoterapi"
"arhitekt"	"arkitekt"
"arikitekt"	"arkitekt"
"ariktekt"	"arkitekt"
"ariktektur"	"arkitektur"
"aritekt"	"arkitekt"
"aritektur"	"arkitektur"
"arjitekt"	"arkitekt"
"arkeiolog"	"arkeolog"
"arkelog"	"arkeolog"
"arkelologi"	"arkeologi"
"arkeolo"	"arkeolog"
"arkeoloh"	"arkeolog"
"arketekt"	"arkitekt"
"arketektur"	"arkitektur"
"arketikt"	"arkitekt"
"arkgeolog"	"arkeolog"
"arki"	"arkitekt"
"arkiekt"	"arkitekt"
"arkiktekt"	"arkitekt"
"arkiolog"	"arkeolog"
"arkiologi"	"arkeologi"
"arkiolåg"	"arkeolog"
"arkirekt"	"arkitekt"
"arkit"	"arkitekt"
"arkitakt"	"arkitekt"
"arkite"	"arkitekt"
"arkitek"	"arkitekt"
"arkiteket"	"arkitekt"
"arkitekkt"	"arkitekt"
"arkitekr"	"arkitekt"
"arkiteks"	"arkitekt"
"arkitekt utdanning"	"arkitektutdanning"
"arkitekte"	"arkitekt"
"arkitektingeniør"	"arkitekt ingeniør"
"arkitektor"	"arkitektur"
"arkitektpsykolog"	"arkitekturpsykologi"
"arkitektt"	"arkitekt"
"arkitekttur"	"arkitektur"
"arkitektu"	"arkitektur"
"arkitektue"	"arkitektur"
"arkitekturteknikk"	"arkitekturteknikk"
"arkitektør"	"arkitektur"
"arkitekur"	"arkitektur"
"arkiteky"	"arkitekt"
"arkitelt"	"arkitekt"
"arkitenkt"	"arkitekt"
"arkiterkt"	"arkitekt"
"arkitet"	"arkitekt"
"arkitetekt"	"arkitekt"
"arkitetk"	"arkitekt"
"arkitetktur"	"arkitektur"
"arkitetur"	"arkitektur"
"arkitiekt"	"arkitekt"
"arkitikt"	"arkitekt"
"arkitiktur"	"arkitektur"
"arkitket"	"arkitekt"
"arkitkt"	"arkitekt"
"arkitktur"	"arkitektur"
"arkitrkt"	"arkitekt"
"arkitwkt"	"arkitekt"
"arkiv og samlingsforvaltning"	"arkiv- og samlingsforvaltning"
"arkiv vitenskap"	"arkivvitenskap"
"arkiv- og samlingsforvaltning"	"arkiv- og samlingsforvaltning"
"arkivat"	"arkivar"
"arkivator"	"arkivar"
"arkivør"	"arkivar"
"arkkitekt"	"arkitekt"
"arkolog"	"arkeolog"
"arkologi"	"arkeologi"
"arkotekt"	"arkitekt"
"arktekt"	"arkitekt"
"arktektur"	"arkitektur"
"arktiekt"	"arkitekt"
"arktikt"	"arkitekt"
"arktitekt"	"arkitekt"
"arktitektur"	"arkitektur"
"arkulog"	"arkeolog"
"arkutekt"	"arkitekt"
"arlitekt"	"arkitekt"
"arna vgs"	"bygg og anleggsteknikk Vg1"
"arnehagelærer"	"barnehagelærer"
"arrangement planlegger"	"arrangementsplanlegger"
"arrangementledelse"	"arrangementsledelse"
"arrest forvarer"	"arrestforvarer"
"art dire"	"art director"
"art directoe"	"art director"
"art direktor"	"art director"
"art direktør"	"art director"
"artektur"	"arkitektur"
"artikekt"	"arkitekt"
